Row Number,Asin,Product_title,Product_price,Product_original_price,Currency,Product_star_rating,Product_num_ratings,Product_minimum_offer_price,Numeric_sales_volume
1,B0D1XD1ZV3,"Apple AirPods Pro (2nd Generation) Wireless Ear Buds with USB-C Charging, Up to 2X More Active Noise Cancelling Bluetooth Headphones, Transparency Mode, Adaptive Audio, Personalized Spatial Audio",249,0,USD,4.5,135,249,10K
2,B0CWXNS552,Apple AirTag,24.99,29,USD,4.5,295,24.99,10K
3,1668051354,What This Comedian Said Will Shock You,20.58,30,USD,4.2,70,20.58,0
4,B0D1WXVQTN,"Apple AirPods (3rd Generation) Wireless Ear Buds, Bluetooth Headphones, Personalized Spatial Audio, Sweat and Water Resistant, Lightning Charging Case Included, Up to 30 Hours of Battery Life",169,0,USD,4.2,63,169,10K
5,B0CXQ7N9Z6,Paper Mario: The Thousand-Year Door,57.5,0,USD,3.4,8,57.5,0
6,B0D2LRF5F5,"PKMACE Compatible with Nintendo Switch Controller, Replacement Switch Controllers with Dual Vibration/Wake-up/Screenshot",27.99,0,USD,0,0,27.99,0
7,B0CPWYVX6H,"Energizer 2450 Lithium Coin Battery, 2 Pack",5.44,8.98,USD,4.8,1554,5.44,800
8,593712641,Good Energy: The Surprising Connection Between Metabolism and Limitless Health,22.15,32,USD,4.5,144,22.15,0
9,B0D3PBB78P,EA SPORTS College Football 25 - PlayStation 5,69.99,0,USD,0,0,69.99,0
10,385545991,Camino Ghosts: A Novel,20.96,29.95,USD,4.5,47,20.96,0
11,B0CWV7WVGW,6Pack(3/3/6/6/6/10FT)[Apple MFi Certified] iPhone Charger Lightning Cable Fast Charging iPhone Charger Cord Nylon Braided for iPhone14/13/12/11Pro Max/XS MAX/XR/XS/X/8/7Plus iPad AirPods,14.98,34.99,USD,4.4,383,14.98,10K
12,B0CV4FQPY1,"Bounty Select-A-Size Paper Towels, White, 8 Triple Rolls = 24 Regular Rolls",22.18,0,USD,4.8,34609,22.18,20K
13,B0CZCSXDK7,Sunday Morning Put-On,13.98,0,USD,0,0,13.98,0
14,B0CWRM3KB5,Clancy,11.99,14.98,USD,4.9,26,11.99,1K
